SampleID	SampleName	SampleType	PlantID	AccessionID	PlantName	Accession	ClonalGroup	Replicate	AccessionID	Plate	PlateCoordinate	HarvestDate	GrindDate	ExtractionDate	QuantificaitonDate	BisulfiteDate	LibraryDate	library_prep_set_alias	ng/uL	total volume (uL)	total gDNA (ug)	uL for 80ng	h2o to 45ul	output volume (uL)	input volume (uL)	expected input gDNA (ug)	index d5	index d7	output well	200-500 Molarity (nmol/L)	Sequencing Batch	Submitted for sequencing
S60104	BdTR5e_R1S_DNA	FlagLeaf Bdis gDNA isolation	28105	699	BdTR5e_R1S	BdTR5e	Clone3	1	699	2	A2	Dec162015	Jan222016	Feb162016	Mar72016				4.16	160	666.38	19.21	25.79	15	5	26.67						
S60105	BdTR11d_R3S_DNA	FlagLeaf Bdis gDNA isolation	28106	745	BdTR11d_R3S	BdTR11d	Clone6	3	745	2	B2	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	2.19	160	350.35	36.54	8.46	15	5	26.67						
S60106	BdTR13m_R3S_DNA	FlagLeaf Bdis gDNA isolation	28107	765	BdTR13m_R3S	BdTR13m	Clone7	3	765	2	C2	Dec162015	Jan222016	Feb162016	Mar72016				2.29	160	365.73	35.00	10.00	15	5	26.67						
S60107	BdTR2r_R1S_DNA	FlagLeaf Bdis gDNA isolation	28108	675	BdTR2r_R1S	BdTR2r	Clone1	1	675	2	D2	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	3.27	160	522.41	24.50	20.50	15	5	26.67						
S60108	BdTR3p_R2S_DNA	FlagLeaf Bdis gDNA isolation	28109	691	BdTR3p_R2S	BdTR3p	Clone2	2	691	2	E2	Dec162015	Jan222016	Feb162016	Mar72016				2.21	160	352.81	36.28	8.72	15	5	26.67						
S60109	BdTR3b_R2S_DNA	FlagLeaf Bdis gDNA isolation	28110	678	BdTR3b_R2S	BdTR3b	Clone2	2	678	2	F2	Dec162015	Jan222016	Feb162016	Mar72016				4.09	160	654.48	19.56	25.44	15	5	26.67						
S60110	BdTR13a_R3S_DNA	FlagLeaf Bdis gDNA isolation	28111	754	BdTR13a_R3S	BdTR13a	Clone7	3	754	2	G2	Dec162015	Jan222016	Feb162016	Mar72016				1.86	160	297.23	43.06	1.94	15	5	26.67						
S60111	BdTR3b_R3S_DNA	FlagLeaf Bdis gDNA isolation	28112	678	BdTR3b_R3S	BdTR3b	Clone2	3	678	2	H2	Dec162015	Jan222016	Feb162016	Mar72016				2.41	160	386.24	33.14	11.86	15	5	26.67						
S60112	BdTR10o_R2S_DNA	FlagLeaf Bdis gDNA isolation	28113	741	BdTR10o_R2S	BdTR10o	Clone5	2	741	2	A3	Dec162015	Jan222016	Feb162016	Mar72016				7.00	160	1119.40	11.43	33.57	15	5	26.67						
S60113	BdTR3f_R1S_DNA	FlagLeaf Bdis gDNA isolation	28114	682	BdTR3f_R1S	BdTR3f	Clone2	1	682	2	B3	Dec162015	Jan222016	Feb162016	Mar72016				8.88	160	1421.49	9.00	36.00	15	5	26.67						
S60114	BdTR5i_R2S_DNA	FlagLeaf Bdis gDNA isolation	28115	703	BdTR5i_R2S	BdTR5i	Clone3	2	703	2	C3	Dec162015	Jan222016	Feb162016	Mar72016				6.68	160	1068.75	11.98	33.02	15	5	26.67						
S60115	BdTR10b_R2S_DNA	FlagLeaf Bdis gDNA isolation	28116	729	BdTR10b_R2S	BdTR10b	Clone5	2	729	2	D3	Dec162015	Jan222016	Feb162016	Mar72016				5.67	160	906.53	14.12	30.88	15	5	26.67						
S60116	BdTR9g_R1S_DNA	FlagLeaf Bdis gDNA isolation	28117	722	BdTR9g_R1S	BdTR9g	Clone4	1	722	2	E3	Dec162015	Jan222016	Feb162016	Mar72016				4.27	160	682.99	18.74	26.26	15	5	26.67						
S60117	BdTR13f_R1S_DNA	FlagLeaf Bdis gDNA isolation	28118	759	BdTR13f_R1S	BdTR13f	Clone7	1	759	2	F3	Dec162015	Jan222016	Feb162016	Mar72016				4.29	160	687.09	18.63	26.37	15	5	26.67						
S60118	BdTR3d_R3S_DNA	FlagLeaf Bdis gDNA isolation	28119	680	BdTR3d_R3S	BdTR3d	Clone2	3	680	2	G3	Dec162015	Jan222016	Feb162016	Mar72016				3.20	160	512.36	24.98	20.02	15	5	26.67						
S60119	BdTR13f_R3S_DNA	FlagLeaf Bdis gDNA isolation	28120	759	BdTR13f_R3S	BdTR13f	Clone7	3	759	2	H3	Dec162015	Jan222016	Feb162016	Mar72016				2.05	160	327.58	39.07	5.93	15	5	26.67						
S60120	BdTR1g_R1S_DNA	FlagLeaf Bdis gDNA isolation	28121	653	BdTR1g_R1S	BdTR1g	Clone1	1	653	2	A4	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	3.81	160	609.16	21.01	23.99	15	5	26.67						
S60121	BdTR2p_R1S_DNA	FlagLeaf Bdis gDNA isolation	28122	674	BdTR2p_R1S	BdTR2p	Clone1	1	674	2	B4	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	3.11	160	497.80	25.71	19.29	15	5	26.67						
S60122	BdTR2k_R1S_DNA	FlagLeaf Bdis gDNA isolation	28123	670	BdTR2k_R1S	BdTR2k	Clone1	1	670	2	C4	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	3.10	160	495.55	25.83	19.17	15	5	26.67						
S60123	BdTR13i_R3S_DNA	FlagLeaf Bdis gDNA isolation	28124	762	BdTR13i_R3S	BdTR13i	Clone7	3	762	2	D4	Dec162015	Jan222016	Feb162016	Mar72016				3.44	160	549.69	23.29	21.71	15	5	26.67						
S60124	BdTR3h_R2S_DNA	FlagLeaf Bdis gDNA isolation	28125	684	BdTR3h_R2S	BdTR3h	Clone2	2	684	2	E4	Dec162015	Jan222016	Feb162016	Mar72016				1.88	160	300.92	42.54	2.46	15	5	26.67						
S60125	BdTR13b_R1S_DNA	FlagLeaf Bdis gDNA isolation	28126	755	BdTR13b_R1S	BdTR13b	Clone7	1	755	2	F4	Dec162015	Jan222016	Feb162016	Mar72016				1.97	160	315.28	40.60	4.40	15	5	26.67						
S60126	BdTR5j_R2S_DNA	FlagLeaf Bdis gDNA isolation	28127	704	BdTR5j_R2S	BdTR5j	Clone3	2	704	2	G4	Dec162015	Jan222016	Feb162016	Mar72016				3.13	160	501.08	25.54	19.46	15	5	26.67						
S60127	GUL1-2_R3S_DNA	FlagLeaf Bdis gDNA isolation	28128	367	GUL1-2_R3S	GUL1-2	HYB1	3	367	2	H4	Dec162015	Jan222016	Feb162016	Mar72016				3.55	160	567.73	22.55	22.45	15	5	26.67						
S60128	BdTR9m_R3S_DNA	FlagLeaf Bdis gDNA isolation	28129	727	BdTR9m_R3S	BdTR9m	Clone4	3	727	2	A5	Dec162015	Jan222016	Feb162016	Mar72016				4.62	160	739.80	17.30	27.70	15	5	26.67						
S60129	BLA1_R1S_DNA	FlagLeaf Bdis gDNA isolation	28130	252	BLA1_R1S	BLA1	HYB1	1	252	2	B5	Dec162015	Jan222016	Feb162016	Mar72016				10.01	160	1601.55	7.99	37.01	15	5	26.67						
S60130	BdTR11g_R1S_DNA	FlagLeaf Bdis gDNA isolation	28131	748	BdTR11g_R1S	BdTR11g	Clone6	1	748	2	C5	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	4.83	160	772.41	16.57	28.43	15	5	26.67						
S60131	BdTR11f_R2S_DNA	FlagLeaf Bdis gDNA isolation	28132	747	BdTR11f_R2S	BdTR11f	Clone6	2	747	2	D5	Dec162015	Jan222016	Feb162016	Mar72016	May132016	May172016	sequencing_plate_1	3.50	160	559.53	22.88	22.12	15	5	26.67	501	705	A5			
S60132	BdTR2j_R3S_DNA	FlagLeaf Bdis gDNA isolation	28133	669	BdTR2j_R3S	BdTR2j	Clone1	3	669	2	E5	Dec162015	Jan222016	Feb162016	Mar72016	May132016	May172016	sequencing_plate_1	4.48	160	716.01	17.88	27.12	15	5	26.67	501	712	A12			
S60133	BdTR3n_R2S_DNA	FlagLeaf Bdis gDNA isolation	28134	689	BdTR3n_R2S	BdTR3n	Clone2	2	689	2	F5	Dec162015	Jan222016	Feb162016	Mar72016				2.36	160	378.24	33.84	11.16	15	5	26.67						
S60134	GUL1-2_R2S_DNA	FlagLeaf Bdis gDNA isolation	28135	367	GUL1-2_R2S	GUL1-2	HYB1	2	367	2	G5	Dec162015	Jan222016	Feb162016	Mar72016				5.15	160	823.47	15.54	29.46	15	5	26.67						
S60135	ELI10_R1S_DNA	FlagLeaf Bdis gDNA isolation	28136	349	ELI10_R1S	ELI10	HYB1	1	349	2	H5	Dec162015	Jan222016	Feb162016	Mar72016				2.23	160	357.12	35.84	9.16	15	5	26.67						
S60136	GUL3-8_R3S_DNA	FlagLeaf Bdis gDNA isolation	28137	389	GUL3-8_R3S	GUL3-8	HYB1	3	389	2	A6	Dec162015	Jan222016	Feb162016	Mar72016				6.58	160	1053.57	12.15	32.85	15	5	26.67						
S60137	BdTR2g_R3S_DNA	FlagLeaf Bdis gDNA isolation	28138	666	BdTR2g_R3S	BdTR2g	Clone1	3	666	2	B6	Dec162015	Jan222016	Feb162016	Mar72016	May132016	May172016	sequencing_plate_1	2.97	160	474.42	26.98	18.02	15	5	26.67	501	702	A2			
S60138	BdTR9k_R1S_DNA	FlagLeaf Bdis gDNA isolation	28139	726	BdTR9k_R1S	BdTR9k	Clone4	1	726	2	C6	Dec162015	Jan222016	Feb162016	Mar72016				3.32	160	531.02	24.10	20.90	15	5	26.67						
S60139	BdTR2h_R2S_DNA	FlagLeaf Bdis gDNA isolation	28140	667	BdTR2h_R2S	BdTR2h	Clone1	2	667	2	D6	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	2.59	160	414.54	30.88	14.12	15	5	26.67						
S60140	BdTR11i_R1S_DNA	FlagLeaf Bdis gDNA isolation	28141	750	BdTR11i_R1S	BdTR11i	Clone6	1	750	2	E6	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	3.32	160	530.82	24.11	20.89	15	5	26.67						
S60141	BdTR13m_R1S_DNA	FlagLeaf Bdis gDNA isolation	28142	765	BdTR13m_R1S	BdTR13m	Clone7	1	765	2	F6	Dec162015	Jan222016	Feb162016	Mar72016				3.42	160	547.02	23.40	21.60	15	5	26.67						
S60142	BdTR2m_R3S_DNA	FlagLeaf Bdis gDNA isolation	28143	671	BdTR2m_R3S	BdTR2m	Clone1	3	671	2	G6	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	2.22	160	354.45	36.11	8.89	15	5	26.67						
S60143	BdTR3j_R2S_DNA	FlagLeaf Bdis gDNA isolation	28144	686	BdTR3j_R2S	BdTR3j	Clone2	2	686	2	H6	Dec162015	Jan222016	Feb162016	Mar72016				3.00	160	479.96	26.67	18.33	15	5	26.67						
S60144	BdTR13j_R1S_DNA	FlagLeaf Bdis gDNA isolation	28145	763	BdTR13j_R1S	BdTR13j	Clone7	1	763	2	A7	Dec162015	Jan222016	Feb162016	Mar72016				1.96	160	313.43	40.84	4.16	15	5	26.67						
S60145	Bd21_R13S_DNA	FlagLeaf Bdis gDNA isolation	28146	4741	Bd21_R13S	Bd21	Bd21	13	4741	2	B7	Dec162015	Jan222016	Feb162016	Mar72016	May132016	May172016	sequencing_plate_1	1.69	160	269.75	45.00	0.00	15	5	25.29	501	708	A8			
S60146	BdTR3t_R3S_DNA	FlagLeaf Bdis gDNA isolation	28147	694	BdTR3t_R3S	BdTR3t	Clone2	3	694	2	C7	Dec162015	Jan222016	Feb162016	Mar72016				2.18	160	349.12	36.66	8.34	15	5	26.67						
S60147	BdTR10b_R1S_DNA	FlagLeaf Bdis gDNA isolation	28148	729	BdTR10b_R1S	BdTR10b	Clone5	1	729	2	D7	Dec162015	Jan222016	Feb162016	Mar72016				3.10	160	495.34	25.84	19.16	15	5	26.67						
S60148	BdTR5m_R3S_DNA	FlagLeaf Bdis gDNA isolation	28149	706	BdTR5m_R3S	BdTR5m	Clone3	3	706	2	E7	Dec162015	Jan222016	Feb162016	Mar72016				2.90	160	463.35	27.63	17.37	15	5	26.67						
S60149	BdTR13k_R1S_DNA	FlagLeaf Bdis gDNA isolation	28150	764	BdTR13k_R1S	BdTR13k	Clone7	1	764	2	F7	Dec162015	Jan222016	Feb162016	Mar72016				2.29	160	366.55	34.92	10.08	15	5	26.67						
S60150	BdTR10h_R1S_DNA	FlagLeaf Bdis gDNA isolation	28151	735	BdTR10h_R1S	BdTR10h	Clone5	1	735	2	G7	Dec162015	Jan222016	Feb162016	Mar72016				4.16	160	665.56	19.23	25.77	15	5	26.67						
S60151	BdTR9j_R1S_DNA	FlagLeaf Bdis gDNA isolation	28152	725	BdTR9j_R1S	BdTR9j	Clone4	1	725	2	H7	Dec162015	Jan222016	Feb162016	Mar72016				5.48	160	877.00	14.60	30.40	15	5	26.67						
S60152	BdTR10a_R3S_DNA	FlagLeaf Bdis gDNA isolation	28153	728	BdTR10a_R3S	BdTR10a	Clone5	3	728	2	A8	Dec162015	Jan222016	Feb162016	Mar72016				5.13	160	820.39	15.60	29.40	15	5	26.67						
S60153	BdTR1n_R2S_DNA	FlagLeaf Bdis gDNA isolation	28154	659	BdTR1n_R2S	BdTR1n	Clone1	2	659	2	B8	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	3.67	160	587.01	21.81	23.19	15	5	26.67						
S60154	BdTR2g_R2S_DNA	FlagLeaf Bdis gDNA isolation	28155	666	BdTR2g_R2S	BdTR2g	Clone1	2	666	2	C8	Dec162015	Jan222016	Feb162016	Mar72016	May132016	May172016	sequencing_plate_1	2.73	160	436.89	29.30	15.70	15	5	26.67	501	706	A6			
S60155	BdTR2m_R1S_DNA	FlagLeaf Bdis gDNA isolation	28156	671	BdTR2m_R1S	BdTR2m	Clone1	1	671	2	D8	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	3.64	160	582.91	21.96	23.04	15	5	26.67						
S60156	BdTR3n_R3S_DNA	FlagLeaf Bdis gDNA isolation	28157	689	BdTR3n_R3S	BdTR3n	Clone2	3	689	2	E8	Dec162015	Jan222016	Feb162016	Mar72016				3.64	160	581.88	22.00	23.00	15	5	26.67						
S60157	BdTR1k_R2S_DNA	FlagLeaf Bdis gDNA isolation	28158	657	BdTR1k_R2S	BdTR1k	Clone1	2	657	2	F8	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	2.51	160	401.00	31.92	13.08	15	5	26.67						
S60158	BdTR10n_R3S_DNA	FlagLeaf Bdis gDNA isolation	28159	740	BdTR10n_R3S	BdTR10n	Clone6	3	740	2	G8	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	2.46	160	393.62	32.52	12.48	15	5	26.67						
S60159	BdTR11c_R1S_DNA	FlagLeaf Bdis gDNA isolation	28160	744	BdTR11c_R1S	BdTR11c	Clone6	1	744	2	H8	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	1.94	160	310.36	41.24	3.76	15	5	26.67						
S60160	BdTR10g_R2S_DNA	FlagLeaf Bdis gDNA isolation	28161	734	BdTR10g_R2S	BdTR10g	Clone5	2	734	2	A9	Dec162015	Jan222016	Feb162016	Mar72016				6.63	160	1061.47	12.06	32.94	15	5	26.67						
S60161	BdTR11c_R3S_DNA	FlagLeaf Bdis gDNA isolation	28162	744	BdTR11c_R3S	BdTR11c	Clone6	3	744	2	B9	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	6.42	160	1027.76	12.45	32.55	15	5	26.67						
S60162	BdTR10c_R2S_DNA	FlagLeaf Bdis gDNA isolation	28163	730	BdTR10c_R2S	BdTR10c	Clone5	2	730	2	C9	Dec162015	Jan222016	Feb162016	Mar72016				3.26	160	522.34	24.50	20.50	15	5	26.67						
S60163	BdTR3j_R1S_DNA	FlagLeaf Bdis gDNA isolation	28164	686	BdTR3j_R1S	BdTR3j	Clone2	1	686	2	D9	Dec162015	Jan222016	Feb162016	Mar72016				4.93	160	788.31	16.24	28.76	15	5	26.67						
S60164	ELI1_R1S_DNA	FlagLeaf Bdis gDNA isolation	28165	342	ELI1_R1S	ELI1	HYB1	1	342	2	E9	Dec162015	Jan222016	Feb162016	Mar72016				3.07	160	491.10	26.06	18.94	15	5	26.67						
S60165	BdTR3e_R3S_DNA	FlagLeaf Bdis gDNA isolation	28166	681	BdTR3e_R3S	BdTR3e	Clone2	3	681	2	F9	Dec162015	Jan222016	Feb162016	Mar72016				3.40	160	544.75	23.50	21.50	15	5	26.67						
S60166	Bd21_R7S_DNA	FlagLeaf Bdis gDNA isolation	28167	4741	Bd21_R7S	Bd21	Bd21	7	4741	2	G9	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	2.14	160	342.91	37.33	7.67	15	5	26.67						
S60167	BdTR13m_R2S_DNA	FlagLeaf Bdis gDNA isolation	28168	765	BdTR13m_R2S	BdTR13m	Clone7	2	765	2	H9	Dec162015	Jan222016	Feb162016	Mar72016				2.29	160	365.93	34.98	10.02	15	5	26.67						
S60168	BdTR13j_R3S_DNA	FlagLeaf Bdis gDNA isolation	28169	763	BdTR13j_R3S	BdTR13j	Clone7	3	763	2	A10	Dec162015	Jan222016	Feb162016	Mar72016				8.73	160	1397.32	9.16	35.84	15	5	26.67						
S60169	BdTR3h_R3S_DNA	FlagLeaf Bdis gDNA isolation	28170	684	BdTR3h_R3S	BdTR3h	Clone2	3	684	2	B10	Dec162015	Jan222016	Feb162016	Mar72016				4.15	160	664.58	19.26	25.74	15	5	26.67						
S60170	BdTR9a_R1S_DNA	FlagLeaf Bdis gDNA isolation	28171	717	BdTR9a_R1S	BdTR9a	Clone4	1	717	2	C10	Dec162015	Jan222016	Feb162016	Mar72016				4.26	160	681.63	18.78	26.22	15	5	26.67						
S60171	BdTR3p_R1S_DNA	FlagLeaf Bdis gDNA isolation	28172	691	BdTR3p_R1S	BdTR3p	Clone2	1	691	2	D10	Dec162015	Jan222016	Feb162016	Mar72016				4.54	160	725.62	17.64	27.36	15	5	26.67						
S60172	BdTR9a_R2S_DNA	FlagLeaf Bdis gDNA isolation	28173	717	BdTR9a_R2S	BdTR9a	Clone4	2	717	2	E10	Dec162015	Jan222016	Feb162016	Mar72016				3.27	160	523.37	24.46	20.54	15	5	26.67						
S60173	BRO1-1_R1S_DNA	FlagLeaf Bdis gDNA isolation	28174	278	BRO1-1_R1S	BRO1-1	HYB1	1	278	2	F10	Dec162015	Jan222016	Feb162016	Mar72016				10.51	160	1681.99	7.61	37.39	15	5	26.67						
S60174	BdTR1h_R2S_DNA	FlagLeaf Bdis gDNA isolation	28175	654	BdTR1h_R2S	BdTR1h	Clone1	2	654	2	G10	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	4.18	160	669.51	19.12	25.88	15	5	26.67						
S60175	BdTR2p_R3S_DNA	FlagLeaf Bdis gDNA isolation	28176	674	BdTR2p_R3S	BdTR2p	Clone1	3	674	2	H10	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	1.18	160	188.96	45.00	0.00	15	5	17.72						
S60176	BdTR10a_R2S_DNA	FlagLeaf Bdis gDNA isolation	28177	728	BdTR10a_R2S	BdTR10a	Clone5	2	728	2	A11	Dec162015	Jan222016	Feb162016	Mar72016				4.96	160	793.45	16.13	28.87	15	5	26.67						
S60177	BdTR1g_R3S_DNA	FlagLeaf Bdis gDNA isolation	28178	653	BdTR1g_R3S	BdTR1g	Clone1	3	653	2	B11	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	6.38	160	1020.36	12.54	32.46	15	5	26.67						
S60178	BdTR13g_R3S_DNA	FlagLeaf Bdis gDNA isolation	28179	760	BdTR13g_R3S	BdTR13g	Clone7	3	760	2	C11	Dec162015	Jan222016	Feb162016	Mar72016				3.29	160	526.45	24.31	20.69	15	5	26.67						
S60179	BdTR1b_R3S_DNA	FlagLeaf Bdis gDNA isolation	28180	648	BdTR1b_R3S	BdTR1b	Clone1	3	648	2	D11	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	4.28	160	684.31	18.71	26.29	15	5	26.67						
S60180	BdTR10e_R1S_DNA	FlagLeaf Bdis gDNA isolation	28181	732	BdTR10e_R1S	BdTR10e	Clone5	1	732	2	E11	Dec162015	Jan222016	Feb162016	Mar72016				2.71	160	433.35	29.54	15.46	15	5	26.67						
S60181	BdTR1b_R1S_DNA	FlagLeaf Bdis gDNA isolation	28182	648	BdTR1b_R1S	BdTR1b	Clone1	1	648	2	F11	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	4.36	160	697.26	18.36	26.64	15	5	26.67						
S60182	BdTR9a_R3S_DNA	FlagLeaf Bdis gDNA isolation	28183	717	BdTR9a_R3S	BdTR9a	Clone4	3	717	2	G11	Dec162015	Jan222016	Feb162016	Mar72016				3.75	160	599.83	21.34	23.66	15	5	26.67						
S60183	BdTR3b_R1S_DNA	FlagLeaf Bdis gDNA isolation	28184	678	BdTR3b_R1S	BdTR3b	Clone2	1	678	2	H11	Dec162015	Jan222016	Feb162016	Mar72016				2.59	160	413.61	30.95	14.05	15	5	26.67						
S60184	BdTR3k_R2S_DNA	FlagLeaf Bdis gDNA isolation	28185	687	BdTR3k_R2S	BdTR3k	Clone2	2	687	2	A12	Dec162015	Jan222016	Feb162016	Mar72016				2.95	160	472.40	27.10	17.90	15	5	26.67						
S60185	BdTR3p_R3S_DNA	FlagLeaf Bdis gDNA isolation	28186	691	BdTR3p_R3S	BdTR3p	Clone2	3	691	2	B12	Dec162015	Jan222016	Feb162016	Mar72016				1.83	160	292.14	43.81	1.19	15	5	26.67						
S60186	BdTR5d_R1S_DNA	FlagLeaf Bdis gDNA isolation	28187	698	BdTR5d_R1S	BdTR5d	Clone3	1	698	2	C12	Dec162015	Jan222016	Feb162016	Mar72016				6.05	160	967.74	13.23	31.77	15	5	26.67						
S60187	BdTR1g_R2S_DNA	FlagLeaf Bdis gDNA isolation	28188	653	BdTR1g_R2S	BdTR1g	Clone1	2	653	2	D12	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	2.03	160	325.23	39.36	5.64	15	5	26.67						
S60188	BdTR2s_R3S_DNA	FlagLeaf Bdis gDNA isolation	28189	676	BdTR2s_R3S	BdTR2s	Clone1	3	676	2	E12	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	1.95	160	311.87	41.04	3.96	15	5	26.67						
S60189	BdTR3g_R3S_DNA	FlagLeaf Bdis gDNA isolation	28190	683	BdTR3g_R3S	BdTR3g	Clone2	3	683	2	F12	Dec162015	Jan222016	Feb162016	Mar72016				1.52	160	242.81	45.00	0.00	15	5	22.76						
S60190	BdTR1k_R3S_DNA	FlagLeaf Bdis gDNA isolation	28191	657	BdTR1k_R3S	BdTR1k	Clone1	3	657	2	G12	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	1.21	160	193.48	45.00	0.00	15	5	18.14						
S60191	BdTR10d_R2S_DNA	FlagLeaf Bdis gDNA isolation	28192	731	BdTR10d_R2S	BdTR10d	Clone5	2	731	2	H12	Dec162015	Jan222016	Feb162016	Mar72016				2.55	160	407.65	31.40	13.60	15	5	26.67						
S60192	BdTR13b_R2S_DNA	FlagLeaf Bdis gDNA isolation	28193	755	BdTR13b_R2S	BdTR13b	Clone7	2	755	3	A1	Dec162015	Jan222016	Feb122016	Mar72016				4.89	160	782.76	16.35	28.65	15	5	26.67						
S60193	BdTR1a_R2S_DNA	FlagLeaf Bdis gDNA isolation	28194	647	BdTR1a_R2S	BdTR1a	Clone1	2	647	3	B1	Dec162015	Jan222016	Feb122016	Mar72016			sequencing_plate_1	10.58	160	1692.06	7.56	37.44	15	5	26.67						
S60194	BdTR3i_R3S_DNA	FlagLeaf Bdis gDNA isolation	28195	685	BdTR3i_R3S	BdTR3i	Clone2	3	685	3	C1	Dec162015	Jan222016	Feb122016	Mar72016				7.61	160	1216.85	10.52	34.48	15	5	26.67						
S60195	BdTR5h_R2S_DNA	FlagLeaf Bdis gDNA isolation	28196	702	BdTR5h_R2S	BdTR5h	Clone3	2	702	3	D1	Dec162015	Jan222016	Feb122016	Mar72016				6.11	160	978.02	13.09	31.91	15	5	26.67						
S60196	BdTR1h_R1S_DNA	FlagLeaf Bdis gDNA isolation	28197	654	BdTR1h_R1S	BdTR1h	Clone1	1	654	3	E1	Dec162015	Jan222016	Feb122016	Mar72016			sequencing_plate_1	9.07	160	1451.99	8.82	36.18	15	5	26.67						
S60197	BdTR2c_R2S_DNA	FlagLeaf Bdis gDNA isolation	28198	662	BdTR2c_R2S	BdTR2c	Clone1	2	662	3	F1	Dec162015	Jan222016	Feb122016	Mar72016			sequencing_plate_1	8.97	160	1435.14	8.92	36.08	15	5	26.67						
S60198	BdTR9k_R3S_DNA	FlagLeaf Bdis gDNA isolation	28199	726	BdTR9k_R3S	BdTR9k	Clone4	3	726	3	G1	Dec162015	Jan222016	Feb122016	Mar72016				7.49	160	1197.74	10.69	34.31	15	5	26.67						
S60199	BdTR3m_R2S_DNA	FlagLeaf Bdis gDNA isolation	28200	688	BdTR3m_R2S	BdTR3m	Clone2	2	688	3	H1	Dec162015	Jan222016	Feb122016	Mar72016				3.82	160	610.52	20.97	24.03	15	5	26.67						
S60200	MEL8_R3S_DNA	FlagLeaf Bdis gDNA isolation	28201	469	MEL8_R3S	MEL8	HYB1	3	469	3	A2	Dec162015	Jan222016	Feb122016	Mar72016				11.19	160	1789.69	7.15	37.85	15	5	26.67						
S60201	EGL7_R3S_DNA	FlagLeaf Bdis gDNA isolation	28202	338	EGL7_R3S	EGL7	HYB1	3	338	3	B2	Dec162015	Jan222016	Feb122016	Mar72016				11.07	160	1771.19	7.23	37.77	15	5	26.67						
S60202	Bd21_R17S_DNA	FlagLeaf Bdis gDNA isolation	28203	4741	Bd21_R17S	Bd21	Bd21	17	4741	3	C2	Dec162015	Jan222016	Feb122016	Mar72016			sequencing_plate_1	5.30	160	847.91	15.10	29.90	15	5	26.67						
S60203	BdTR5d_R3S_DNA	FlagLeaf Bdis gDNA isolation	28204	698	BdTR5d_R3S	BdTR5d	Clone3	3	698	3	D2	Dec162015	Jan222016	Feb122016	Mar72016				4.00	160	640.32	19.99	25.01	15	5	26.67						
S60204	BdTR3m_R3S_DNA	FlagLeaf Bdis gDNA isolation	28205	688	BdTR3m_R3S	BdTR3m	Clone2	3	688	3	E2	Dec162015	Jan222016	Feb122016	Mar72016				9.51	160	1521.67	8.41	36.59	15	5	26.67						
S60205	KEI1_R2S_DNA	FlagLeaf Bdis gDNA isolation	28206	422	KEI1_R2S	KEI1	HYB2	2	422	3	F2	Dec162015	Jan222016	Feb122016	Mar72016				13.70	160	2191.31	5.84	39.16	15	5	26.67						
S60206	ELI10_R3S_DNA	FlagLeaf Bdis gDNA isolation	28207	349	ELI10_R3S	ELI10	HYB1	3	349	3	G2	Dec162015	Jan222016	Feb122016	Mar72016				6.98	160	1117.17	11.46	33.54	15	5	26.67						
S60207	BdTR1m_R2S_DNA	FlagLeaf Bdis gDNA isolation	28208	658	BdTR1m_R2S	BdTR1m	Clone1	2	658	3	H2	Dec162015	Jan222016	Feb122016	Mar72016	May132016	May172016	sequencing_plate_1	6.53	160	1044.20	12.26	32.74	15	5	26.67	501	704	A4			
S60208	BdTR2s_R2S_DNA	FlagLeaf Bdis gDNA isolation	28209	676	BdTR2s_R2S	BdTR2s	Clone1	2	676	3	A3	Dec162015	Jan222016	Feb122016	Mar72016			sequencing_plate_1	11.25	160	1800.79	7.11	37.89	15	5	26.67						
